750-67-8428,A,\Member,522.83,26.1415,74.69,7,548,15-06-2021 08:05:30,Health and beauty,
226-31-3081,C,$Normal,76.4,3.82,15.28,5,802,15-06-2021 08:20:20,Electronic accessories,
631-41-3108,B,&Normal,324.31,16.2155,46.33,7,340,15-06-2021 08:25:08,Home and lifestyle,
123-19-1176,A,$Member,465.76,23.288,58.22,8,48904,15-06-2021 08:29:08,Health and beauty,
373-73-7910,B,$Normal,604.17,30.2085,86.31,7,500,15-06-2021 08:33:55,Sports and travel,
699-14-3026,C,&Normal,597.73,29.8865,85.39,7,627,15-06-2021 08:39:18,Electronic accessories,
355-53-5943,A,\Member,413.04,20.652,68.84,,433,15-06-2021 08:45:39,Electronic accessories,
315-22-5665,C,\Normal,735.6,36.78,73.56,10,772,15-06-2021 08:49:30,Home and lifestyle,
665-32-9167,A,$Member,72.52,3.626,36.26,anyy,72,15-06-2021 08:55:50,Health and beauty,
,,,,,,,,,,
